Source,Target,SourcePort,TargetPort,Channel
NOC_NPS4_X0Y1,HBM_MC_X1Y0,portSideB3_in,pc1_port1_out,23
NOC_NPS4_X0Y1,HBM_MC_X1Y0,portSideB2_out,pc0_port1_in,14
NOC_NPS4_X0Y1,HBM_MC_X1Y0,portSideB3_out,pc1_port1_in,15
HBM_MC_X1Y0,NOC_NPS4_X0Y0,pc1_port0_out,portSideB3_in,22
HBM_MC_X1Y0,NOC_NPS4_X0Y0,pc0_port0_out,portSideB2_in,20
HBM_MC_X1Y0,NOC_NPS4_X0Y0,pc1_port0_in,portSideB3_out,7
HBM_MC_X1Y0,NOC_NPS4_X0Y0,pc0_port0_in,portSideB2_out,6
HBM_MC_X0Y0,NOC_NPS4_X0Y1,pc1_port1_out,portSideB1_in,3
HBM_MC_X0Y0,NOC_NPS4_X0Y1,pc0_port1_out,portSideB0_in,1
HBM_MC_X0Y0,NOC_NPS4_X0Y1,pc1_port1_in,portSideB1_out,13
HBM_MC_X0Y0,NOC_NPS4_X0Y1,pc0_port1_in,portSideB0_out,12
HBM_MC_X0Y0,NOC_NPS4_X0Y0,pc1_port0_out,portSideB1_in,2
HBM_MC_X0Y0,NOC_NPS4_X0Y0,pc0_port0_out,portSideB0_in,0
HBM_MC_X0Y0,NOC_NPS4_X0Y0,pc1_port0_in,portSideB1_out,5
HBM_MC_X0Y0,NOC_NPS4_X0Y0,pc0_port0_in,portSideB0_out,4
NOC_NPS5555_X5Y5,NOC_NPS6_X1Y3,port1_in,port0_out,246
NOC_NPS5555_X5Y5,NOC_NPS6_X1Y3,port1_out,port0_in,221
NOC_NPS5555_X5Y3,NOC_NPS6_X1Y0,port1_in,port0_out,228
NOC_NPS5555_X5Y3,NOC_NPS6_X1Y0,port1_out,port0_in,213
NOC_NPS5555_X5Y6,NOC_NPS6_X1Y2,port2_in,port0_out,240
NOC_NPS5555_X5Y6,NOC_NPS6_X1Y2,port2_out,port0_in,226
NOC_NPS5555_X5Y4,NOC_NPS6_X1Y1,port2_in,port0_out,234
NOC_NPS5555_X5Y4,NOC_NPS6_X1Y1,port2_out,port0_in,218
NOC_NPS5555_X5Y5,NOC_NPS5555_X5Y6,port2_out,port0_in,222
NOC_NPS5555_X5Y5,NOC_NPS5555_X5Y6,port2_in,port0_out,224
NOC_NPS5555_X5Y5,NOC_NPS5555_X5Y3,port3_out,port3_in,223
NOC_NPS5555_X5Y5,NOC_NPS5555_X5Y3,port3_in,port3_out,215
NOC_NPS5555_X5Y3,NOC_NPS5555_X5Y4,port2_out,port0_in,214
NOC_NPS5555_X5Y3,NOC_NPS5555_X5Y4,port2_in,port0_out,216
NOC_NPS5555_X5Y6,NOC_NCRB_X0Y0,port3_out,port1_in,227
NOC_NPS5555_X5Y6,NOC_NCRB_X0Y1,port3_in,port1_out,507
NOC_NPS5555_X5Y4,NOC_NCRB_X0Y0,port3_out,port0_in,219
NOC_NPS5555_X5Y4,NOC_NCRB_X0Y1,port3_in,port0_out,506
NOC_NCRB_X0Y1,NOC_NPS_VNOC_X0Y36,port1_in,port2_out,542
NOC_NCRB_X0Y0,NOC_NPS_VNOC_X0Y37,port0_out,port0_in,504
NOC_NCRB_X0Y1,NOC_NPS_VNOC_X0Y37,port0_in,port0_out,524
NOC_NCRB_X0Y0,NOC_NPS_VNOC_X0Y36,port1_out,port2_in,505
NOC_NMU512_X0Y18,NOC_NPS_VNOC_X0Y37,resp_in,port3_out,527
NOC_NMU512_X0Y18,NOC_NPS_VNOC_X0Y37,req_out,port3_in,520
NOC_NPS_VNOC_X0Y37,NOC_NPS_VNOC_X0Y36,port1_in,port1_out,541
NOC_NPS_VNOC_X0Y37,NOC_NPS_VNOC_X0Y36,port1_out,port1_in,525
NOC_NPS_VNOC_X0Y36,NOC_NSU512_X0Y18,port3_in,resp,556
NOC_NPS_VNOC_X0Y36,NOC_NSU512_X0Y18,port3_out,req,543
NOC_NPS_VNOC_X0Y37,NOC_NPS_VNOC_X0Y35,port2_out,port0_in,526
NOC_NPS_VNOC_X0Y37,NOC_NPS_VNOC_X0Y35,port2_in,port0_out,564
NOC_NPS_VNOC_X0Y36,NOC_NPS_VNOC_X0Y34,port0_out,port2_in,540
NOC_NPS_VNOC_X0Y36,NOC_NPS_VNOC_X0Y34,port0_in,port2_out,582
