NOC_NMU512_X0Y13 resp_in  Channel 727 port3_out NOC_NPS_VNOC_X0Y27
NOC_NMU512_X0Y13 req_out  Channel 720 port3_in NOC_NPS_VNOC_X0Y27
NOC_NPS_VNOC_X0Y27 port1_in  Channel 741 port1_out NOC_NPS_VNOC_X0Y26
NOC_NPS_VNOC_X0Y27 port1_out  Channel 725 port1_in NOC_NPS_VNOC_X0Y26
NOC_NPS_VNOC_X0Y26 port3_in  Channel 756 resp NOC_NSU512_X0Y13
NOC_NPS_VNOC_X0Y26 port3_out  Channel 743 req NOC_NSU512_X0Y13
NOC_NPS_VNOC_X0Y26 port0_out  Channel 740 port1_in NOC_NPS7575_X4Y6
NOC_NPS_VNOC_X0Y26 port0_in  Channel 785 port1_out NOC_NPS7575_X4Y6
NOC_NPS_VNOC_X0Y27 port2_out  Channel 726 port3_in NOC_NPS7575_X4Y7
NOC_NPS7575_X4Y7 port3_out  Channel 791 port2_in NOC_NPS_VNOC_X0Y27
NOC_NPS5555_X7Y0 port2_in  Channel 1781 port0_out NOC_NPS5555_X9Y0
NOC_NPS5555_X9Y0 port0_in  Channel 1761 port2_out NOC_NPS5555_X7Y0
NOC_NPS5555_X7Y0 port3_out  Channel 1762 port1_in NOC_NPS5555_X7Y1
NOC_NPS5555_X7Y0 port3_in  Channel 1764 port1_out NOC_NPS5555_X7Y1
NOC_NPS5555_X6Y0 port2_in  Channel 1770 port0_out NOC_NPS5555_X8Y0
NOC_NPS5555_X8Y0 port0_in  Channel 1751 port2_out NOC_NPS5555_X6Y0
NOC_NPS5555_X6Y0 port3_out  Channel 1752 port1_in NOC_NPS5555_X6Y1
NOC_NPS5555_X6Y0 port3_in  Channel 1754 port1_out NOC_NPS5555_X6Y1
NOC_NPS5555_X6Y1 port0_out  Channel 1753 port2_in NOC_NPS_VNOC_X0Y1
NOC_NPS_VNOC_X0Y1 port2_out  Channel 1654 port0_in NOC_NPS5555_X6Y1
NOC_NPS5555_X6Y1 port2_in  Channel 1763 port0_out NOC_NPS5555_X7Y1
NOC_NPS5555_X7Y1 port0_in  Channel 1755 port2_out NOC_NPS5555_X6Y1
NOC_NPS5555_X7Y1 port2_in  Channel 1668 port0_out NOC_NPS_VNOC_X0Y0
NOC_NPS_VNOC_X0Y0 port0_in  Channel 1765 port2_out NOC_NPS5555_X7Y1
NOC_NPS5555_X6Y1 port3_out  Channel 1756 port1_in NOC_NPS5555_X6Y2
NOC_NPS5555_X6Y1 port3_in  Channel 1758 port1_out NOC_NPS5555_X6Y2
NOC_NPS5555_X7Y1 port3_out  Channel 1766 port1_in NOC_NPS5555_X7Y2
NOC_NPS5555_X7Y1 port3_in  Channel 1768 port1_out NOC_NPS5555_X7Y2
NOC_NPS5555_X7Y2 port2_in  Channel 1788 port0_out NOC_NPS5555_X9Y2
NOC_NPS5555_X7Y2 port2_out  Channel 1769 port0_in NOC_NPS5555_X9Y2
NOC_NPS5555_X6Y2 port2_in  Channel 1777 port0_out NOC_NPS5555_X8Y2
NOC_NPS5555_X6Y2 port2_out  Channel 1759 port0_in NOC_NPS5555_X8Y2
NOC_NPS5555_X9Y0 port2_in  Channel 1801 port0_out NOC_NPS5555_X11Y0
NOC_NPS5555_X11Y0 port0_in  Channel 1783 port2_out NOC_NPS5555_X9Y0
NOC_NPS5555_X9Y0 port3_out  Channel 1784 port1_in NOC_NPS5555_X9Y1
NOC_NPS5555_X9Y0 port3_in  Channel 1786 port1_out NOC_NPS5555_X9Y1
NOC_NPS5555_X9Y0 port1_out  Channel 1782 Port3_req DDRMC_X1Y0
DDRMC_X1Y0 Port3_resp  Channel 1953 port1_in NOC_NPS5555_X9Y0
NOC_NPS5555_X8Y0 port2_in  Channel 1792 port0_out NOC_NPS5555_X10Y0
NOC_NPS5555_X10Y0 port0_in  Channel 1772 port2_out NOC_NPS5555_X8Y0
NOC_NPS5555_X8Y0 port1_out  Channel 1771 Port0_req DDRMC_X1Y0
DDRMC_X1Y0 Port0_resp  Channel 1950 port1_in NOC_NPS5555_X8Y0
NOC_NPS5555_X8Y0 port3_out  Channel 1773 port1_in NOC_NPS5555_X8Y1
NOC_NPS5555_X8Y0 port3_in  Channel 1774 port1_out NOC_NPS5555_X8Y1
NOC_NPS5555_X9Y1 port0_out  Channel 1785 port2_in NOC_NPS5555_X8Y1
NOC_NPS5555_X9Y1 port0_in  Channel 1775 port2_out NOC_NPS5555_X8Y1
NOC_NPS5555_X9Y1 port3_out  Channel 1787 port1_in NOC_NPS5555_X9Y2
